,Value
2023-10-10,174088.92112153693
2023-10-11,174318.7846561684
2023-10-12,174599.55637665492
2023-10-13,175163.0876226117
2023-10-16,175807.73535856567
2023-10-17,176420.8052724389
2023-10-18,175281.10813964374
2023-10-19,174794.46160877252
2023-10-20,173013.4136228705
2023-10-23,170512.03966396453
2023-10-25,169854.81321481106
2023-10-26,170223.65498882413
2023-10-27,170114.45129976244
2023-10-30,169724.79971050864
2023-10-31,169459.86193688767
2023-11-01,169299.72056052255
2023-11-02,169240.37759703497
2023-11-03,169270.2782240731
2023-11-06,169198.90543620702
2023-11-07,170115.60465527806
2023-11-08,169906.70066600278
2023-11-09,170043.7903036856
2023-11-10,170100.1560593635
2023-11-13,169981.7134150282
2023-11-15,169776.28653461428
2023-11-16,169725.73627088222
2023-11-17,170163.467435003
2023-11-20,170582.81962885018
2023-11-21,170877.76713283162
2023-11-22,171119.14667901729
2023-11-23,170386.86840033
2023-11-24,170553.62079244968
2023-11-28,172171.97095955192
2023-11-29,173499.36163655797
2023-11-30,176054.14060919362
2023-12-01,178086.1667099182
2023-12-04,181152.1665871946
2023-12-05,182677.25616432558
2023-12-06,182745.13468956843
2023-12-07,182894.10002739486
2023-12-08,182798.93148245232
2023-12-11,184781.09282157116
2023-12-12,183656.42966274192
2023-12-13,185721.88958277067
2023-12-14,187008.8434845475
2023-12-15,188368.43398781357
2023-12-18,188191.88234802074
2023-12-19,189591.95664645487
2023-12-20,184850.59842406612
2023-12-21,186904.2789819379
2023-12-22,187896.873074375
2023-12-26,190226.1638987928
2023-12-27,191212.73608523837
2023-12-28,192929.18644607934
2023-12-29,192822.52735741687
2024-01-01,192740.62356095057
2024-01-02,192058.13117168087
2024-01-03,193297.44067927063
2024-01-04,195334.79627355476
2024-01-05,195290.58206633368
2024-01-08,193994.9639234771
2024-01-09,195781.3170809668
2024-01-10,196551.16857724637
2024-01-11,196301.36950066636
2024-01-12,197130.76911492122
2024-01-15,198613.84431238993
2024-01-16,197763.0964843537
2024-01-17,196010.44631347017
2024-01-18,195189.0874801792
2024-01-19,197681.59978141348
2024-01-23,192897.72083150884
2024-01-24,196109.53698322127
2024-01-25,195751.6144446994
2024-01-29,199819.0967597313
2024-01-30,197440.48870747836
2024-01-31,199099.36075435652
2024-02-01,198438.4282106942
2024-02-02,201182.8623933294
2024-02-05,201607.24222779478
2024-02-06,204308.99610396332
2024-02-07,206586.36507837608
2024-02-08,208483.97548328474
2024-02-09,207615.71408134451
2024-02-12,204752.83679864972
2024-02-13,207002.12077315748
2024-02-14,209577.1029312275
2024-02-15,211998.1825168929
2024-02-16,213704.9120984606
2024-02-19,214510.0888705768
2024-02-20,214649.16625460374
2024-02-21,212486.52749809474
2024-02-22,214326.0728724664
2024-02-23,214906.47908573662
2024-02-26,214128.43481155686
2024-02-27,215266.7695486277
2024-02-28,212126.70614638465
2024-02-29,212319.97977160334
2024-03-01,214818.8950223074
2024-03-04,216745.9666731111
2024-03-05,217206.09858962707
2024-03-06,217199.73251849576
2024-03-07,217637.46282964738
2024-03-11,217406.45060546618
2024-03-12,214768.7558987987
2024-03-13,207881.24287958036
2024-03-14,211303.82855128616
2024-03-15,209121.287110235
2024-03-18,209876.67403783763
2024-03-19,206176.57771395132
2024-03-20,206290.4806951482
2024-03-21,208117.07958920082
2024-03-22,209512.25410393998
2024-03-26,210395.47972379834
2024-03-27,210933.09201664757
2024-03-28,213429.76857438273
2024-04-01,216205.83459149656
2024-04-02,217821.14410051744
2024-04-03,217886.63128268503
2024-04-04,217787.7511685174
2024-04-05,217542.06213481762
2024-04-08,219009.61505686012
2024-04-09,218479.74523295785
2024-04-10,221040.02326848567
2024-04-12,219028.58930287982
2024-04-15,216154.3673161917
2024-04-16,215825.11145737531
2024-04-18,215134.64972824894
2024-04-19,215790.5333313159
2024-04-22,218667.9401393493
2024-04-23,218975.7578680977
2024-04-24,221728.78160953327
2024-04-25,224272.25971325475
2024-04-26,225258.0823864645
2024-04-29,226303.26786742013
2024-04-30,226125.57161186376
2024-05-02,228630.24401567873
2024-05-03,226893.32088252896
2024-05-06,224721.36642926664
2024-05-07,221768.77975127118
2024-05-08,222408.4496620114
2024-05-09,218257.4898462927
2024-05-10,219942.35126154765
2024-05-13,220157.75918119735
2024-05-14,220473.2274063313
2024-05-15,220791.40937333615
2024-05-16,221458.24956560336
2024-05-17,222466.49329869112
2024-05-21,225724.31423098166
2024-05-22,227172.16600856965
2024-05-23,229956.48481783926
2024-05-24,231468.40059183838
2024-05-27,231403.48242932832
2024-05-28,229065.16372811238
2024-05-29,228720.5263642008
2024-05-30,226935.17034948655
2024-05-31,228009.16542189568
2024-06-03,237960.87422224873
2024-06-04,214575.36552015392
2024-06-05,220541.96822765723
2024-06-06,224796.64753574782
2024-06-07,228948.00630698365
2024-06-10,229908.17039700656
2024-06-11,230926.7605419693
2024-06-12,232430.1996472493
2024-06-13,235298.2191139844
2024-06-14,237799.59257129047
2024-06-18,241168.54287123174
2024-06-19,237028.99627403406
2024-06-20,236894.34117259822
2024-06-21,235353.8136651468
2024-06-24,237007.6641684221
2024-06-25,237010.04451182688
2024-06-26,236082.0794996067
2024-06-27,237061.14638392095
2024-06-28,236791.7405302389
2024-07-01,238110.716162486
2024-07-02,237219.66214852544
2024-07-03,239131.62278003548
2024-07-04,239893.60436114564
2024-07-05,241439.07393053826
