,Value
2024-02-19,197103.2733135681
2024-02-20,197240.05776088286
2024-02-21,195412.35811061575
2024-02-22,197145.85616913246
2024-02-23,197746.53729502644
2024-02-26,197130.264210117
2024-02-27,198248.89984090882
2024-02-28,195371.79720491328
2024-02-29,195669.25503638323
2024-03-01,197572.43077190648
2024-03-04,199160.64483744183
2024-03-05,199911.2087259866
2024-03-06,200158.9411912375
2024-03-07,200370.59582734105
2024-03-11,200017.7406629932
2024-03-12,197613.27597141766
2024-03-13,191775.14795085535
2024-03-14,194939.7397955324
2024-03-15,193146.68088450577
2024-03-18,193834.54484396873
2024-03-19,190400.72137734518
2024-03-20,190454.55958612802
2024-03-21,192243.70739884928
2024-03-22,193687.92157551248
2024-03-26,194105.93365037462
2024-03-27,194546.9037006575
2024-03-28,196822.31943093517
2024-04-01,199195.92836144802
2024-04-02,200427.84737544175
2024-04-03,200416.68889790797
2024-04-04,200393.38064385302
2024-04-05,200070.74966421886
2024-04-08,201210.60855432483
2024-04-09,200736.97095161767
2024-04-10,202847.0180119467
2024-04-12,200477.2635277628
2024-04-15,198042.63378665812
2024-04-16,197829.72582598258
2024-04-18,197268.93899518967
2024-04-19,197724.18463068176
2024-04-22,200418.60818480278
2024-04-23,200770.51287898506
2024-04-24,203341.56574985522
2024-04-25,205790.7427765108
2024-04-26,206469.8899549642
2024-04-29,207348.02550389068
2024-04-30,207075.70852180212
2024-05-02,209743.75641098
2024-05-03,207984.53671399486
2024-05-06,205755.79359098518
2024-05-07,203560.38806898796
2024-05-08,203826.35979399053
2024-05-09,204025.4825036738
2024-05-10,203864.2253848972
2024-05-13,203979.64114377927
2024-05-14,204344.040459014
2024-05-15,204135.29408392127
2024-05-16,204777.6032136468
2024-05-17,206635.09879780782
2024-05-21,208411.2375645853
2024-05-22,208474.45242323313
2024-05-23,208468.4461655019
2024-05-24,208455.55815240715
2024-05-27,208328.29542025665
2024-05-28,206148.47628073161
2024-05-29,205685.2076733204
2024-05-30,204173.93673367225
2024-05-31,204931.18740509657
2024-06-03,214047.05317599475
2024-06-04,193767.50351304928
2024-06-05,200156.83596249012
2024-06-06,202614.4697508408
2024-06-07,206598.1028771612
2024-06-10,207258.83515076246
2024-06-11,207795.28120446682
2024-06-12,209135.54838692656
2024-06-13,211356.40000275176
2024-06-14,213856.7389620821
2024-06-18,216500.4484224597
2024-06-19,212984.07153300982
2024-06-20,212272.82825972207
2024-06-21,211309.64660388674
2024-06-24,213285.7581802133
2024-06-25,213049.63960958342
2024-06-26,212088.87539083033
2024-06-27,213258.19133699313
2024-06-28,212927.03566279446
2024-07-01,214149.1685403988
2024-07-02,213462.56161437934
2024-07-03,214934.87055743695
2024-07-04,215616.4197645996
2024-07-05,216402.70438790042
2024-07-08,215480.83898258905
2024-07-09,216684.41259833903
2024-07-10,213734.42206672527
2024-07-11,214509.64270989443
2024-07-12,214177.68166321216
2024-07-15,216022.69526912482
2024-07-16,215502.7444190406
2024-07-18,211640.4387693907
2024-07-19,206324.29034041814
2024-07-22,208272.6784545615
2024-07-23,207324.47299312343
2024-07-24,206892.43016109633
2024-07-25,206656.47040799347
2024-07-26,210902.64577872137
2024-07-29,212562.24244446238
2024-07-30,213749.47003018792
2024-07-31,215180.40445992557
2024-08-01,214285.62794825758
2024-08-02,211429.85146076465
2024-08-05,206731.34105457412
2024-08-06,206197.27835511818
2024-08-07,208052.3205831415
2024-08-08,206060.89478398676
2024-08-09,208623.6088872034
2024-08-12,208368.75440158937
2024-08-13,207682.49538945453
2024-08-14,206558.1702858867
2024-08-16,210258.5486881307
2024-08-19,211627.553492193
2024-08-20,212429.4631653255
2024-08-21,213076.30820820015
2024-08-22,213987.89626269802
2024-08-23,214995.81986667027
2024-08-26,216014.01717406142
2024-08-27,214809.35814579134
2024-08-28,216027.88944120918
2024-08-29,215930.62318136895
2024-08-30,217442.94541073567
2024-09-02,216276.41740785178
2024-09-03,216574.85784457362
2024-09-04,217600.5592164273
2024-09-05,216896.94659981987
2024-09-06,215329.85879553203
2024-09-09,217241.56123048638
2024-09-10,217719.40801089013
2024-09-11,218262.50623207496
2024-09-12,221473.04686510217
2024-09-13,221004.94577617844
2024-09-16,221106.10500960724
